=== none / inter / seed42
Epoch 001 | train_loss=0.4217 | train_acc=0.9392 | valid_loss=0.4231 | valid_acc=0.9281 | valid_macro_f1=0.5530 | lr=0.001000
Epoch 002 | train_loss=0.3042 | train_acc=0.9682 | valid_loss=0.3646 | valid_acc=0.9447 | valid_macro_f1=0.6013 | lr=0.001000
Epoch 003 | train_loss=0.2759 | train_acc=0.9782 | valid_loss=0.3631 | valid_acc=0.9492 | valid_macro_f1=0.6450 | lr=0.001000
Epoch 004 | train_loss=0.2648 | train_acc=0.9820 | valid_loss=0.3841 | valid_acc=0.9461 | valid_macro_f1=0.5972 | lr=0.001000
Epoch 005 | train_loss=0.2541 | train_acc=0.9846 | valid_loss=0.6000 | valid_acc=0.7814 | valid_macro_f1=0.5776 | lr=0.001000
Epoch 006 | train_loss=0.2472 | train_acc=0.9870 | valid_loss=0.3255 | valid_acc=0.9508 | valid_macro_f1=0.6729 | lr=0.001000
Epoch 007 | train_loss=0.2431 | train_acc=0.9881 | valid_loss=0.3734 | valid_acc=0.9495 | valid_macro_f1=0.6565 | lr=0.001000
Epoch 008 | train_loss=0.2403 | train_acc=0.9888 | valid_loss=0.4851 | valid_acc=0.8617 | valid_macro_f1=0.5958 | lr=0.001000
Epoch 009 | train_loss=0.2384 | train_acc=0.9893 | valid_loss=0.3262 | valid_acc=0.9552 | valid_macro_f1=0.6907 | lr=0.001000
Epoch 010 | train_loss=0.2368 | train_acc=0.9896 | valid_loss=0.2731 | valid_acc=0.9752 | valid_macro_f1=0.7244 | lr=0.001000
Epoch 011 | train_loss=0.2344 | train_acc=0.9907 | valid_loss=0.3536 | valid_acc=0.9480 | valid_macro_f1=0.6605 | lr=0.001000
Epoch 012 | train_loss=0.2323 | train_acc=0.9907 | valid_loss=0.3328 | valid_acc=0.9528 | valid_macro_f1=0.7382 | lr=0.001000
Epoch 013 | train_loss=0.2316 | train_acc=0.9912 | valid_loss=0.3235 | valid_acc=0.9526 | valid_macro_f1=0.6258 | lr=0.001000
Epoch 014 | train_loss=0.2306 | train_acc=0.9914 | valid_loss=0.3094 | valid_acc=0.9646 | valid_macro_f1=0.6437 | lr=0.001000
Epoch 015 | train_loss=0.2294 | train_acc=0.9916 | valid_loss=0.3213 | valid_acc=0.9563 | valid_macro_f1=0.6446 | lr=0.000500
