epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,valid_macro_f1,valid_macro_f1_scored,learning_rate
1.0,0.4113220061381097,0.9300488788889751,0.2700208461928412,0.9667908131595282,0.5016259446280131,0.8360432410466886,0.001
2.0,0.2751051573370822,0.9685313057646054,0.24880892046855,0.9731843575418995,0.5628284070592402,0.8765816240585446,0.001
3.0,0.25375691936887146,0.9737760881371712,0.22430843433780304,0.9799503414028554,0.679435936482209,0.8967029917801126,0.001
4.0,0.23721537865089642,0.9787105283575142,0.22939638283443628,0.9785226567349472,0.6707069266861351,0.8956226555880029,0.001
5.0,0.22837837646135914,0.9819225696330204,0.21310404565932217,0.9833643699565487,0.7067837208843641,0.9142047521985779,0.001
6.0,0.22140326034256,0.9834277290713012,0.2105829776665352,0.9859093730602111,0.7238043518946459,0.9218217580391935,0.001
7.0,0.21677656850495547,0.9847001318954147,0.20867128854283334,0.9870266914959652,0.7311649417107849,0.9320834134896061,0.001
8.0,0.21345858529958098,0.9863604624098068,0.21171163399718254,0.9849162011173185,0.7130848885716643,0.9267464192243787,0.001
9.0,0.21136061478062534,0.9867639072076965,0.20613993748162268,0.9866542520173806,0.7312726149947918,0.9377959561207962,0.001
10.0,0.20881006469718424,0.9875087283730313,0.20444418427590477,0.9863438857852266,0.7209672396475213,0.9378758023429384,0.001
11.0,0.2073122539696178,0.9875397625882536,0.21310486267213863,0.9846679081315953,0.7287883983124658,0.9300944849923211,0.001
12.0,0.20524915938177973,0.9883156179688106,0.19992586508032553,0.988578522656735,0.7369615113797481,0.945275988354002,0.001
13.0,0.20411421884201303,0.988905268058034,0.20015393064526724,0.9882060831781502,0.7332734429963982,0.9424613880448445,0.001
14.0,0.2023145519308552,0.9892156102102568,0.20686790926681403,0.9874612042209807,0.7362396657803479,0.9429592179320849,0.001
15.0,0.201071974092444,0.9895880207929242,0.20110977161456012,0.9881440099317195,0.7347089389608463,0.9445726183257972,0.0005
16.0,0.19686837881047414,0.9908759407246489,0.1954554933409451,0.9905027932960894,0.74782517766365,0.9543642768223366,0.0005
17.0,0.19522267273661978,0.9914966250290945,0.1947035749605322,0.9905648665425202,0.745665249747916,0.9578514881690716,0.0005
18.0,0.19411587499140473,0.9919931724726511,0.19563541446207178,0.9905027932960894,0.7389949373032217,0.95662085963093,0.0005
19.0,0.1944064935523199,0.991543176351928,0.19439105455694844,0.9902545003103662,0.7456315577812822,0.9534630646216963,0.0005
20.0,0.19378923344569576,0.9917293816432617,0.19554656182180497,0.9904407200496586,0.7454014586785017,0.955810941769134,0.00025
21.0,0.19058609433314347,0.9928776476064861,0.19276095078200156,0.9906890130353817,0.745499103532737,0.957979677436012,0.00025
22.0,0.18989094251347566,0.9932345410815424,0.1918871009705009,0.9912476722532588,0.748815855461056,0.9582936550229978,0.00025
23.0,0.18929891511572464,0.9931414384358755,0.1933509924558288,0.9905027932960894,0.7440136234071459,0.9559158139767483,0.00025
24.0,0.18860345009443547,0.9937776398479323,0.19150717225339678,0.9910614525139665,0.7464662549014706,0.9568021961049613,0.00025
25.0,0.18883191463450444,0.9934207463728761,0.1919844765736404,0.9913097454996896,0.7482620771164842,0.9601836306371783,0.00025
26.0,0.1879183127286501,0.9936845372022655,0.19154813705320908,0.9906890130353817,0.7471898273235319,0.9572505352511541,0.00025
27.0,0.18783446194586553,0.9938241911707658,0.1928497448332335,0.9906890130353817,0.7470672396498645,0.9553792953376785,0.00025
28.0,0.18780230652075297,0.9938241911707658,0.1930598884543449,0.9908131595282433,0.7449232677885317,0.9566148515700977,0.000125
29.0,0.18640387417139154,0.9940879820001551,0.19086939461071398,0.9916821849782743,0.7515755367683224,0.9621694630786011,0.000125
30.0,0.1858771587481315,0.9945534952284895,0.1916838978385422,0.9912476722532588,0.7496145225657165,0.9593846378805302,0.000125
31.0,0.18479177559103735,0.9949259058111568,0.19160767418120234,0.9907510862818125,0.7438126740852968,0.9579583619692187,0.000125
32.0,0.1846229457318325,0.9949879742416013,0.19223979109011402,0.9908131595282433,0.746891021267666,0.9567525251580443,6.25e-05
33.0,0.18396092850368956,0.9950500426720459,0.19107799163558778,0.9908131595282433,0.7480544831541446,0.9583220977739143,6.25e-05
34.0,0.18474196282542235,0.9946465978741562,0.19049414328578687,0.9909993792675357,0.7480124299059715,0.95862153955522,6.25e-05
35.0,0.1839761055704787,0.9951741795329351,0.1906801107079993,0.9909993792675357,0.7498554489464357,0.9582611058688909,3.125e-05
36.0,0.1837198582171136,0.995065559779657,0.19026930024356,0.9914338919925512,0.7513264982990284,0.9614015026520158,3.125e-05
37.0,0.1837689394512098,0.9950500426720459,0.19081036068133728,0.9910614525139665,0.7484279035854222,0.9601169666803107,3.125e-05
38.0,0.18312402473145123,0.9955465901156024,0.19070920711863049,0.9909373060211049,0.7477667430898773,0.9593926592481562,1.5625e-05
39.0,0.18286622630882987,0.9956707269764916,0.19041676396616197,0.9908752327746742,0.7471580025608981,0.9583780916998575,1.5625e-05
40.0,0.18351573377433783,0.9952983163938242,0.19047474401623177,0.9910614525139665,0.7490908142306829,0.9592284920373642,1.5625e-05
41.0,0.18285572658971372,0.9955931414384359,0.19063672981300686,0.9910614525139665,0.7494931100404585,0.959182283671767,7.8125e-06
42.0,0.1830726997547481,0.9952983163938242,0.1905307998648347,0.9905648665425202,0.7457040052181441,0.9578937721377669,7.8125e-06
43.0,0.18262246138223232,0.9958724493754364,0.19055634747189368,0.9909373060211049,0.7480507190140148,0.9591167897545407,7.8125e-06
44.0,0.1831698417073956,0.9952672821786019,0.19038925363845813,0.9910614525139665,0.748927278308213,0.9597767563640285,3.90625e-06
