epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,valid_macro_f1,valid_macro_f1_scored,learning_rate
1.0,0.29538165750441997,0.9524447753785058,0.24452270333178314,0.9232281621571014,0.4706015865250034,0.6274687820333379,0.003
2.0,0.18020122839310354,0.9848101265822785,0.25931706261449555,0.9277221233966857,0.4720877285963357,0.6294503047951142,0.003
3.0,0.16890843422899887,0.9886820551005212,0.2289731740747852,0.9253815185844022,0.4752738410935342,0.633698454791379,0.003
4.0,0.16430550761304502,0.9904194589228096,0.25598815073598447,0.9277221233966857,0.47356220486790546,0.6314162731572073,0.003
5.0,0.16095500666085055,0.9915611814345991,0.2181390688338091,0.9244452766594888,0.46984181311976303,0.6264557508263507,0.003
6.0,0.15748325662951398,0.9925291635641599,0.23321227279397813,0.9265050088942983,0.4933593864112109,0.6578125152149479,0.003
7.0,0.15769006902392196,0.9921816827997022,0.2204711975025981,0.9302499765939519,0.5193018604896682,0.6924024806528909,0.003
8.0,0.1540048177912739,0.9937205261851576,0.1785517206699613,0.9485066941297632,0.6609711591507441,0.8812948788676588,0.003
9.0,0.15293808332016817,0.9937205261851576,0.21790259571772325,0.9334331991386574,0.536603394460997,0.7154711926146627,0.003
10.0,0.15195986569430758,0.9941176470588236,0.21400014145824528,0.9312798427113567,0.5252547924682437,0.7003397232909916,0.003
11.0,0.15108752279001716,0.9943658476048647,0.16934516808868583,0.9524389102143994,0.6739179763094345,0.8985573017459126,0.003
12.0,0.14989663021429564,0.9946388682055101,0.2015588188531883,0.9358674281434323,0.5705229886942932,0.7606973182590576,0.003
13.0,0.14840008122331008,0.9949367088607595,0.23421646390093165,0.9280029959741597,0.4845293218992824,0.6460390958657098,0.003
14.0,0.1474985795744183,0.9953586497890295,0.18807468175129122,0.9422338732328434,0.6299853839267129,0.8399805119022838,0.0015
15.0,0.14472534525746536,0.9962273517001737,0.20289210889649942,0.9335268233311488,0.5390938927129524,0.7187918569506032,0.0015
16.0,0.14325079645403976,0.9965251923554231,0.17209614240216936,0.9490684392847112,0.6578663733547513,0.8771551644730017,0.0015
17.0,0.1433684199508469,0.9966492926284438,0.19607513315690367,0.936335549105889,0.5740823877250099,0.7654431836333465,0.00075
18.0,0.1415426420474591,0.9971456937205262,0.1797744685367368,0.9448553506226008,0.6302993029570036,0.8403990706093382,0.00075
19.0,0.14084359026555832,0.9974683544303797,0.18908296908993877,0.9423274974253347,0.6138389338500303,0.8184519118000404,0.00075
20.0,0.1407158781936844,0.9975676346487963,0.18436113691890232,0.9433573635427395,0.6199999243613368,0.8266665658151157,0.000375
21.0,0.13965914846946004,0.997939935467858,0.1848684294431266,0.9438254845051961,0.6238721421967091,0.8318295229289454,0.000375
22.0,0.1401729595405229,0.9977910151402333,0.21344751366826994,0.9354929313734669,0.5575753387933462,0.7434337850577949,0.000375
23.0,0.13990828569162037,0.9977910151402333,0.19915867692917968,0.9397060200355772,0.5938084488875791,0.7917445985167721,0.0001875
24.0,0.13949873437284388,0.9978654753040457,0.19974179646962367,0.9401741409980339,0.5962256968054089,0.7949675957405452,0.0001875
25.0,0.1393087867983046,0.9978654753040457,0.19857470208775316,0.9403613893830166,0.5997906867023404,0.7997209156031205,0.0001875
26.0,0.13946969972026055,0.997915115413254,0.2006154885905678,0.9392378990731205,0.5886935924025557,0.7849247898700743,9.375e-05
