epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,valid_macro_f1,valid_macro_f1_scored,learning_rate
1.0,0.8320168005144901,0.7317448498386696,0.517269462913445,0.9052523171987642,0.4899073038760263,0.6532097385013684,0.001
2.0,0.3411180011153251,0.9539091586001489,0.4870769520420203,0.9103080235932965,0.6386516712771897,0.8515355617029196,0.001
3.0,0.28300186983850817,0.9786547530404567,0.45588775451638014,0.9252878943919108,0.4989400563222641,0.6652534084296855,0.001
4.0,0.26335815266791807,0.9851824274013403,0.4914232033790804,0.9091845332834004,0.5330307304533869,0.7107076406045159,0.001
5.0,0.24842264535676223,0.9912633407793497,0.5407435096847063,0.824454639078738,0.6462677107675312,0.8600953846916365,0.001
6.0,0.24563188490130286,0.9904690990320179,0.45618686921787827,0.9029117123864807,0.609074450246359,0.8120992669951453,0.001
7.0,0.23908942329229685,0.9925291635641599,0.5980473714546255,0.8076022844302968,0.531937721330598,0.7092502951074641,0.001
8.0,0.23326991485821516,0.9943162074956565,0.636184636857467,0.8039509409231346,0.47463414119942565,0.6328455215992342,0.0005
9.0,0.2265656704426581,0.9962273517001737,0.5718052151017662,0.8323190712480105,0.5094320350789431,0.6792427134385908,0.0005
10.0,0.22460603281489433,0.9967733929014644,0.7477283110339347,0.7451549480385732,0.5632223583877995,0.750963144517066,0.0005
11.0,0.22241372859161407,0.9975924547034003,0.8300274031437489,0.733826420747121,0.49825346961358163,0.6643379594847755,0.00025
12.0,0.2211163559965059,0.9975924547034003,0.907213412647267,0.7119183597041475,0.4584005539023146,0.6109512375384155,0.00025
13.0,0.22015215055644882,0.9981136758500869,0.8402843688737698,0.7345754142870518,0.45690893435953406,0.6092119124793788,0.00025
14.0,0.21997072813853522,0.9979895755770662,0.462559979458157,0.912367755828106,0.5053793479984646,0.6713234073941793,0.000125
15.0,0.22029188488591364,0.9978158351948374,0.5447363674964321,0.8693006272820897,0.4874079537231062,0.6498772716308082,0.000125
16.0,0.21871800014430637,0.9981881360138992,0.51898682703129,0.883718752925756,0.4979848232926737,0.6639797643902315,0.000125
17.0,0.21869271715733574,0.9984363365599405,0.7774257613259659,0.7485254189682614,0.48312046318419644,0.6441606175789286,6.25e-05
18.0,0.21818600591816717,0.9981136758500869,0.649943552298131,0.8059170489654527,0.480430139171346,0.640573518895128,6.25e-05
19.0,0.21771863710202718,0.9984115165053363,0.598342052716774,0.8292294728957963,0.498605064835702,0.6648067531142693,6.25e-05
20.0,0.21705276542027674,0.9986845371059816,0.599776248390136,0.8282932309708829,0.505563318729114,0.6740844249721519,3.125e-05
