epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,valid_macro_f1,valid_macro_f1_scored,learning_rate
1.0,0.36534252891182034,0.9342826664020442,0.2879387503842857,0.9275620028076743,0.47342066203544475,0.631227549380593,0.001
2.0,0.21268803358267277,0.9764072539631348,0.3179556378637121,0.9096864763687412,0.45609384784031304,0.6081251304537507,0.001
3.0,0.19833995087378203,0.9787144310203677,0.30319461614716314,0.9225081890500701,0.47002621244370546,0.6267016165916073,0.001
4.0,0.18635465851902783,0.9828326180257511,0.328302598484889,0.9043518951801591,0.44483436708529817,0.5931124894470642,0.0005
5.0,0.1758233151311287,0.9870748468084051,0.3165067218010483,0.9096864763687412,0.45031890673253827,0.6004252089767177,0.0005
6.0,0.17095714827176997,0.9886129648465604,0.30784082785074435,0.9176415535797847,0.458399157812459,0.6111988770832787,0.0005
7.0,0.16743382692770292,0.9894316405765462,0.31911600701542286,0.9136172204024333,0.45868054851378703,0.6115740646850494,0.00025
8.0,0.16507734637044372,0.9903495497283485,0.31791700784101296,0.9113710809546093,0.45368865562521354,0.6049182075002847,0.00025
9.0,0.16336653231110557,0.9905976332828896,0.2975938689669661,0.9192325690219935,0.4620293925651695,0.6160391900868927,0.00025
10.0,0.16259190138672372,0.9909201419037932,0.33175849575387245,0.9071595694899391,0.4521635756676683,0.602884767556891,0.000125
11.0,0.16065690201739322,0.9913418839465132,0.36408906150321624,0.8778661675245671,0.42074542985673635,0.5609939064756485,0.000125
12.0,0.1596731587971989,0.9914163090128756,0.31562721744340105,0.9085634066448292,0.45193545925098066,0.6025806123346409,0.000125
13.0,0.15870888346519255,0.9920117095437744,0.3593995235152595,0.8784277023865231,0.4208782729491486,0.5611710305988648,6.25e-05
14.0,0.15782818570908666,0.9921853680319531,0.32269932687645153,0.9061300889096865,0.44973164033719687,0.5996421871162625,6.25e-05
15.0,0.1578852324097888,0.9922101763874073,0.34110564392863674,0.8914365933551708,0.4336117933367215,0.5781490577822953,6.25e-05
16.0,0.15737917273072208,0.9926319184301272,0.3314149186775179,0.897894244267665,0.4406287048142178,0.5875049397522903,3.125e-05
