epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,valid_macro_f1,valid_macro_f1_scored,learning_rate
1.0,0.35807088537028425,0.951586857959133,0.2749749336318343,0.971181914166822,0.661598661774227,0.8769635903759719,0.001
2.0,0.2689948149345194,0.9790385690329794,0.2412219815769223,0.9861499285758648,0.8845694366638288,0.9456186485691492,0.001
3.0,0.2512211118153286,0.9849232966896466,0.2385749405388891,0.985342525308987,0.911780855948802,0.9327946426656295,0.001
4.0,0.242478679156912,0.9884013415315819,0.2294026979781272,0.98993851313583,0.9335908453899534,0.9556311673472471,0.001
5.0,0.23877395247940722,0.9886808272778088,0.22951167717119764,0.9896900813614061,0.9265497965039392,0.9524865634058125,0.001
6.0,0.235662524825734,0.9900472020371406,0.2262589908406554,0.9910564561207379,0.932560238447021,0.9629903708394142,0.001
7.0,0.23335662672411736,0.9904819576423824,0.22767600694596193,0.9914912117259798,0.9394423640565533,0.9643015304537829,0.001
8.0,0.23064328957034166,0.9916154276131918,0.2229691732430279,0.9924228308800696,0.9420245026758229,0.9657100895892693,0.001
9.0,0.22889406701254775,0.9919725482889261,0.22489123898673136,0.9913669958387678,0.9323260693697569,0.9622503619965553,0.001
10.0,0.22706741080892123,0.992717843612198,0.2224969350286955,0.9921122911620396,0.9398882923923969,0.9646689836940642,0.001
11.0,0.22614787718234067,0.992624681696789,0.22582692634940155,0.990186944910254,0.9347884937874338,0.9567671720444473,0.0005
12.0,0.22209806096057005,0.9941773802869387,0.2207775264969154,0.9922986149928575,0.9452345487024038,0.9634166452334344,0.0005
13.0,0.22070070148869247,0.9943326501459536,0.2188866366885344,0.9935407738649773,0.9477285023488775,0.9728286752854718,0.0005
14.0,0.2202454763440625,0.9946431898639836,0.22195611120058834,0.9923607229364636,0.939413382843647,0.9679357925094779,0.0005
15.0,0.2201105704187836,0.9947052978075895,0.2202450667958135,0.9927954785417055,0.9450479766464353,0.9689075062768797,0.0005
16.0,0.2197953856670296,0.9945500279485746,0.2218268580924916,0.9919259673312216,0.9340589982702256,0.9687321557964009,0.00025
17.0,0.21785843061198434,0.9955282280603689,0.2178095318143334,0.9936649897521893,0.9517827778187993,0.9739185390680168,0.00025
18.0,0.2166405328635688,0.9957456058629899,0.2180168494905169,0.9938513135830073,0.9523284839556236,0.9731833854316451,0.00025
19.0,0.2166430938115039,0.9956679709334824,0.21859078443547922,0.9931060182597354,0.944537846485686,0.9705848749363802,0.00025
20.0,0.21641921031146336,0.9957145518911868,0.21757824636121675,0.9933544500341593,0.9462835005112865,0.9732759598653887,0.000125
21.0,0.21549829319799682,0.9962269424259362,0.21744623690201298,0.9940376374138252,0.9510154127205206,0.9755304317169523,0.000125
22.0,0.21500164842810676,0.9964287932426558,0.2175869061820115,0.9935407738649773,0.9477100844487015,0.973758373467834,0.000125
23.0,0.21488000732013568,0.9963511583131482,0.2179321763772904,0.9934165579777654,0.9486811060765297,0.9718973887472009,0.000125
24.0,0.21468263721623027,0.9963045773554438,0.21760515419250467,0.9942239612446432,0.9601722426657758,0.9743473039465247,6.25e-05
25.0,0.21392006627092242,0.9968169678901931,0.21739815384044048,0.9939134215266132,0.9527901635738419,0.9746879600339398,6.25e-05
26.0,0.21388131042188255,0.9966461710452766,0.21734678787194042,0.9941618533010372,0.9543632024254466,0.9752955148805151,6.25e-05
27.0,0.21421566062958727,0.9966151170734737,0.21748075164976227,0.9937270976957953,0.9535913270492714,0.9730680059581683,3.125e-05
28.0,0.2134769956826142,0.9970188187069127,0.2174264858871593,0.9938513135830073,0.9534796307036537,0.9738294146433842,3.125e-05
29.0,0.21323620145990643,0.9970032917210111,0.21768416437674928,0.9937270976957953,0.9519671781574964,0.9732792748663659,3.125e-05
30.0,0.2129009679338368,0.9971585615800261,0.2173470859414383,0.9939755294702193,0.9558135001088026,0.9742851980202362,1.5625e-05
31.0,0.21274612370884705,0.9970498726787156,0.2172747081380832,0.9939134215266132,0.9529762790958325,0.9746350387944434,1.5625e-05
32.0,0.21300240824529232,0.9969411837774051,0.217317384749079,0.9939134215266132,0.9554317048396981,0.9737761376614301,1.5625e-05
33.0,0.21291762806970757,0.9970653996646172,0.2172705209978574,0.9940376374138252,0.9543223768850944,0.9746696250431034,7.8125e-06
34.0,0.2129788177053082,0.9971896155518291,0.21719528711084238,0.9940376374138252,0.9541352851064622,0.9749916251218692,7.8125e-06
35.0,0.21290807829207645,0.9969567107633066,0.21723095910066878,0.9939134215266132,0.9547349164693332,0.974313221959111,7.8125e-06
36.0,0.212928318700082,0.9970653996646172,0.21725252925290892,0.9939755294702193,0.9539728238828674,0.9744870055490025,3.90625e-06
